label,family,language_scope,task,execution,mean_auc,mean_accuracy,mean_ic,mean_directional_accuracy,mean_mse,mean_mae,strategy_num_weeks,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_ratio,strategy_max_drawdown,benchmark_cumulative_return,cumulative_return_diff,information_ratio
V1 Chinese classification,V1,zh,classification,always_in,0.5366036028909619,0.5435413642960812,0.06144819561167582,0.5435413642960812,0.0,0.0,263.0,2.8497973756003288,0.305425147784667,0.3597092191381141,0.8490890183923693,-0.4062940212836126,2.6091761992851596,0.2406211763151691,0.0235004830741847
V1 Chinese classification,V1,zh,classification,long_only,0.5366036028909619,0.5435413642960812,0.06144819561167582,0.5435413642960812,0.0,0.0,263.0,3.4410687552054062,0.3428278553278592,0.2462289224947989,1.3923135099415491,-0.29960361762503,2.6091761992851596,0.8318925559202466,0.0235004830741847
V1 Chinese classification,V1,zh,classification,threshold_short_only,0.5366036028909619,0.5435413642960812,0.06144819561167582,0.5435413642960812,0.0,0.0,263.0,3.4410687552054062,0.3428278553278592,0.2462289224947989,1.3923135099415491,-0.29960361762503,2.6091761992851596,0.8318925559202466,0.0235004830741847
V3 English classification,V3,en,classification,always_in,0.5809550833047151,0.551530612244898,0.09496557739763425,0.551530612244898,0.0,0.0,241.0,-0.0620246103455632,-0.0137209377664893,0.3695143709437913,-0.0371323522044463,-0.6420657141810874,1.8509627849682329,-1.912987395313796,-0.4769706934688091
V3 English classification,V3,en,classification,long_only,0.5809550833047151,0.551530612244898,0.09496557739763425,0.551530612244898,0.0,0.0,241.0,0.8943357802036678,0.1478000320245398,0.2699613674899316,0.5474858621393378,-0.3607706024378596,1.8509627849682329,-0.9566270047645647,-0.4769706934688091
V3 English classification,V3,en,classification,threshold_short_only,0.5809550833047151,0.551530612244898,0.09496557739763425,0.551530612244898,0.0,0.0,241.0,0.0225831882606788,0.0048301426225936,0.2949984176243678,0.0163734526493088,-0.5166338188572068,1.8509627849682329,-1.8283795967075536,-0.7651854625872383
V1 Chinese regression,V1,zh,regression,asymmetric_long_short,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,263.0,0.4595563869635672,0.0776296377356446,0.1708676803911596,0.4543260466691576,-0.3181173072903129,2.609176199285141,-2.149619812321573,-0.7141085609066242
V1 Chinese regression,V1,zh,regression,baseline_tanh,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,263.0,0.0562510319603926,0.0108790768629356,0.2239428898512362,0.0485796931090893,-0.4310592630800898,2.609176199285141,-2.552925167324748,-0.6952345174810595
V1 Chinese regression,V1,zh,regression,long_only_factor,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,263.0,0.8841820657544128,0.1334357753078938,0.1935545657588554,0.6893961647700834,-0.2726091200111057,2.609176199285141,-1.7249941335307275,-0.6369177714208712
V1 Chinese regression,V1,zh,regression,threshold_short_only,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,263.0,0.5706838771783636,0.093378189245308,0.1669173179940942,0.5594278075364947,-0.2771498482884593,2.609176199285141,-2.038492322106777,-0.7213959737384715
V3 English regression,V3,en,regression,asymmetric_long_short,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,241.0,0.7514561142894869,0.1285418859895353,0.1682053537002026,0.7641961635694383,-0.1811477505602379,1.850962784968224,-1.0995066706787369,-0.4476105715536242
V3 English regression,V3,en,regression,baseline_tanh,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,241.0,0.5725315192489915,0.102604545967464,0.2399432207764647,0.4276201079381702,-0.2552547439892562,1.850962784968224,-1.2784312657192325,-0.3645605428442792
V3 English regression,V3,en,regression,long_only_factor,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,241.0,0.9665045202106872,0.157097258236821,0.1760763278736639,0.8922111230621502,-0.1778969079723485,1.850962784968224,-0.8844582647575365,-0.4407168433018665
V3 English regression,V3,en,regression,threshold_short_only,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,241.0,0.5989963416920014,0.1065822164089536,0.1651043300537556,0.6455446466743298,-0.1911991185621174,1.850962784968224,-1.2519664432762223,-0.5357727600007778
