label,task,execution,window_start,window_end,regime,strategy_num_weeks,strategy_cumulative_return,strategy_annualized_return,strategy_sharpe_ratio,strategy_max_drawdown,benchmark_cumulative_return,cumulative_return_diff,information_ratio
V1 Chinese classification,classification,always_in,2021-01-22,2025-09-05,Recovery Bull,56,0.38216911460445724,0.3505824424131838,0.7504865051365315,-0.272192694388943,1.1118072636936058,-0.7296381490891486,-0.5044176516644189
V1 Chinese classification,classification,always_in,2021-01-22,2025-09-05,War Spike,18,-0.29583266749776027,-0.636961634186593,-1.176840971735857,-0.27935312174692817,0.19289803798732663,-0.4887307054850869,-1.7973118585191916
V1 Chinese classification,classification,always_in,2021-01-22,2025-09-05,Post-Spike Bear,51,1.3891947646088099,1.4303468089127724,4.148714399988854,-0.10338697414575415,-0.032161424844018516,1.4213561894528284,1.8043398778876423
V1 Chinese classification,classification,always_in,2021-01-22,2025-09-05,OPEC-Supported Range,76,-0.18472143000643926,-0.13040977359821648,-0.6130367114456853,-0.33786200884731976,0.11119343520509672,-0.295914865211536,-0.8400205438020023
V1 Chinese classification,classification,always_in,2021-01-22,2025-09-05,Oversupply Bear,36,0.34543358954166736,0.535091913993524,2.0426635678782388,-0.0981577475203389,-0.008127971757189156,0.3535615612988565,1.3385498109501486
V1 Chinese classification,classification,long_only,2021-01-22,2025-09-05,Recovery Bull,56,0.8580935754919727,0.7776590523731546,3.185422627535399,-0.13954152767509231,1.1118072636936058,-0.2537136882016331,-0.5044176516644189
V1 Chinese classification,classification,long_only,2021-01-22,2025-09-05,War Spike,18,-0.05292599439261658,-0.14537467262285675,-0.42164316226218634,-0.18670893496380703,0.19289803798732663,-0.2458240323799432,-1.7973118585191916
V1 Chinese classification,classification,long_only,2021-01-22,2025-09-05,Post-Spike Bear,51,0.5730209481044173,0.5870552481007318,2.3420699913996703,-0.09764794459652126,-0.032161424844018516,0.6051823729484358,1.8043398778876423
V1 Chinese classification,classification,long_only,2021-01-22,2025-09-05,OPEC-Supported Range,76,-0.03692276325941568,-0.02541266132722042,-0.14817572495525022,-0.2996036176250304,0.11119343520509672,-0.1481161984645124,-0.8400205438020023
V1 Chinese classification,classification,long_only,2021-01-22,2025-09-05,Oversupply Bear,36,0.16642407603803977,0.24902308224199454,1.1902945627446107,-0.09186609212115471,-0.008127971757189156,0.17455204779522893,1.3385498109501486
V3 English classification,classification,always_in,2021-01-22,2025-09-05,Recovery Bull,56,0.5099259614246381,0.46613211123552856,1.0011411018398528,-0.2214247860713333,1.1118072636936058,-0.6018813022689677,-0.4728107744698179
V3 English classification,classification,always_in,2021-01-22,2025-09-05,War Spike,18,-0.33522689748959356,-0.692586264357292,-1.2928304519747886,-0.31769296418971626,0.19289803798732663,-0.5281249354769202,-2.4181703093378357
V3 English classification,classification,always_in,2021-01-22,2025-09-05,Post-Spike Bear,51,-0.19829998981877928,-0.2017668324326648,-0.5473416147449036,-0.4279918925944114,-0.032161424844018516,-0.16613856497476076,-0.3600987838542316
V3 English classification,classification,always_in,2021-01-22,2025-09-05,OPEC-Supported Range,76,-0.0633709684746726,-0.04380545258581503,-0.2053503625367608,-0.24531242868654002,0.11119343520509672,-0.17456440367976933,-0.42163741290282547
V3 English classification,classification,always_in,2021-01-22,2025-09-05,Oversupply Bear,36,-0.05389305574867531,-0.07690372364395115,-0.28516069262479593,-0.2525960614313135,-0.008127971757189156,-0.045765083991486155,-0.17507160801719496
V3 English classification,classification,long_only,2021-01-22,2025-09-05,Recovery Bull,56,0.8954759020102232,0.8108448750361852,2.5236039179266703,-0.18572717775222336,1.1118072636936058,-0.21633136168338263,-0.4728107744698179
V3 English classification,classification,long_only,2021-01-22,2025-09-05,War Spike,18,-0.08841605613112091,-0.2346553715765749,-0.5650263213288377,-0.19815180400739763,0.19289803798732663,-0.28131409411844754,-2.4181703093378357
V3 English classification,classification,long_only,2021-01-22,2025-09-05,Post-Spike Bear,51,-0.08804771478178686,-0.08969431394545191,-0.3497995941183432,-0.274130291975359,-0.032161424844018516,-0.05588628993776834,-0.3600987838542316
V3 English classification,classification,long_only,2021-01-22,2025-09-05,OPEC-Supported Range,76,0.034667507047430934,0.023591970461863232,0.1457088847828841,-0.1637912546893665,0.11119343520509672,-0.07652592815766579,-0.42163741290282547
V3 English classification,classification,long_only,2021-01-22,2025-09-05,Oversupply Bear,36,-0.018393248078488522,-0.026459058604814012,-0.1420487546154165,-0.1693587201347183,-0.008127971757189156,-0.010265276321299366,-0.17507160801719496
V1 Chinese regression,regression,baseline_tanh,2021-01-22,2025-09-05,Recovery Bull,56,0.5918542704574248,0.5398614336810879,1.8153711303496254,-0.15459617738288112,1.1118072636936058,-0.519952993236181,-0.6773542792494507
V1 Chinese regression,regression,baseline_tanh,2021-01-22,2025-09-05,War Spike,18,-0.2651906475058332,-0.5894240500822396,-1.7059938068588796,-0.16267766545910256,0.19289803798732663,-0.45808868549315984,-1.8215480098108043
V1 Chinese regression,regression,baseline_tanh,2021-01-22,2025-09-05,Post-Spike Bear,51,0.3348002609095335,0.34237985366369794,1.7797310064805387,-0.08082756746023645,-0.032161424844018516,0.36696168575355204,0.5923972749244178
V1 Chinese regression,regression,baseline_tanh,2021-01-22,2025-09-05,OPEC-Supported Range,76,-0.3566837467255324,-0.26052747466399995,-2.148261719630115,-0.36390300589714175,0.11119343520509672,-0.4678771819306291,-1.9138384163579565
V1 Chinese regression,regression,baseline_tanh,2021-01-22,2025-09-05,Oversupply Bear,36,0.02270362277381155,0.032958886749842264,0.22259679953541514,-0.10780955522077096,-0.008127971757189156,0.030831594531000706,0.08003406676053414
V1 Chinese regression,regression,long_only_factor,2021-01-22,2025-09-05,Recovery Bull,56,0.6926288877745872,0.6301813091911714,2.2716353247855277,-0.1874376470004263,1.1118072636936058,-0.41917837591901863,-0.8445194428996837
V1 Chinese regression,regression,long_only_factor,2021-01-22,2025-09-05,War Spike,18,-0.03382393936884198,-0.09462347048360131,-0.8435449089789464,-0.08614580221810708,0.19289803798732663,-0.2267219773561686,-1.4819041727779387
V1 Chinese regression,regression,long_only_factor,2021-01-22,2025-09-05,Post-Spike Bear,51,0.11215218710030816,0.11447261407898357,0.8958697588027724,-0.04670227406903227,-0.032161424844018516,0.14431361194432668,0.25193880613394937
V1 Chinese regression,regression,long_only_factor,2021-01-22,2025-09-05,OPEC-Supported Range,76,-0.18775936330602705,-0.13262813587509348,-1.1276950575619455,-0.24923848102394797,0.11119343520509672,-0.2989527985111238,-1.4846834966027016
V1 Chinese regression,regression,long_only_factor,2021-01-22,2025-09-05,Oversupply Bear,36,0.11679350248806397,0.17298959011825765,1.1170138224534543,-0.08658533180137007,-0.008127971757189156,0.12492147424525313,0.7979912239216065
V3 English regression,regression,baseline_tanh,2021-01-22,2025-09-05,Recovery Bull,56,0.5972581714482221,0.5447148600112528,1.8547080744655113,-0.21696336950879125,1.1118072636936058,-0.5145490922453837,-0.5126823767817928
V3 English regression,regression,baseline_tanh,2021-01-22,2025-09-05,War Spike,18,-0.12957120248538323,-0.3302756981291979,-0.8541016946280571,-0.08120920502804141,0.19289803798732663,-0.32246924047270986,-1.245570650529151
V3 English regression,regression,baseline_tanh,2021-01-22,2025-09-05,Post-Spike Bear,51,-0.05705096074226779,-0.0581364470870418,-0.2218471468987383,-0.22160880962829288,-0.032161424844018516,-0.02488953589824927,-0.14565124040147076
V3 English regression,regression,baseline_tanh,2021-01-22,2025-09-05,OPEC-Supported Range,76,0.03886059932769004,0.02642840482094222,0.18486461808364452,-0.0838168736925331,0.11119343520509672,-0.07233283587740669,-0.28334873368752683
V3 English regression,regression,baseline_tanh,2021-01-22,2025-09-05,Oversupply Bear,36,0.0951730042553729,0.14033015764938184,0.8432587133614983,-0.09035875173696795,-0.008127971757189156,0.10330097601256205,0.47628605026115167
V3 English regression,regression,long_only_factor,2021-01-22,2025-09-05,Recovery Bull,56,0.6496957514498003,0.5917505517950779,3.1872352611395525,-0.07735389624734612,1.1118072636936058,-0.46211151224380553,-0.7900750275915382
V3 English regression,regression,long_only_factor,2021-01-22,2025-09-05,War Spike,18,-0.05444099590097462,-0.14931815070831178,-0.8720681900502923,-0.07082670224888443,0.19289803798732663,-0.24733903388830125,-1.6868619608324023
V3 English regression,regression,long_only_factor,2021-01-22,2025-09-05,Post-Spike Bear,51,0.02692490189540586,0.027460024937311145,0.12437414062663738,-0.17789690797234858,-0.032161424844018516,0.05908632673942438,0.06140797965883164
V3 English regression,regression,long_only_factor,2021-01-22,2025-09-05,OPEC-Supported Range,76,0.16292248032465295,0.10879312391369655,0.7935462250303356,-0.11787598381040532,0.11119343520509672,0.05172904511955623,0.12842874320019584
V3 English regression,regression,long_only_factor,2021-01-22,2025-09-05,Oversupply Bear,36,0.05563311970069229,0.08134240177328134,0.505111753289949,-0.09492291996989821,-0.008127971757189156,0.06376109145788145,0.370490537550804
